id,loan_amnt,funded_amnt,term_months,int_rate,installment,grade,sub_grade,emp_title,emp_length_years,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,pub_rec_bankruptcies
1069799,4000,4000,36,0.1171,132.31,B,B3,Shands Hospital at the University of Fl,10.0,MORTGAGE,106000.0,Not Verified,2026-12-11,Fully Paid,debt_consolidation,Debt Consolidation,326xx,FL,5.63,1,1984-08-01,0,12,0,6110,0.377,44,0.0
1047704,8500,8500,36,0.1171,281.15,B,B3,Oakridge homes,0.0,RENT,25000.0,Source Verified,2026-12-11,Fully Paid,credit_card,Credit card repayment loan,564xx,MN,12.19,0,1926-11-06,0,8,0,6441,0.591,12,0.0
1032111,4375,4375,36,0.0751,136.11,A,A3,Not Disclosed,7.0,MORTGAGE,17108.0,Source Verified,2026-12-11,Fully Paid,debt_consolidation,Debt Consolidation,141xx,NY,20.34,0,1987-12-01,0,6,0,11210,0.869,12,0.0
1069539,31825,31825,36,0.079,995.82,A,A4,Audubon Mutual Housing Corporation,5.0,MORTGAGE,75000.0,Verified,2026-12-11,Fully Paid,debt_consolidation,Debt Consolidation Loan,080xx,NJ,14.03,0,1981-11-01,0,12,0,23151,0.274,26,0.0
1069591,5000,5000,36,0.089,158.77,A,A5,Good Samaritan Society,2.0,RENT,24044.0,Verified,2026-12-11,Fully Paid,debt_consolidation,Consolidation,974xx,OR,11.93,0,1926-04-05,0,8,0,2224,0.293,16,0.0
1069530,7000,7000,36,0.1596,245.97,C,C5,GREG BARRETT DRYWALL,7.0,RENT,34000.0,Source Verified,2026-12-11,Fully Paid,credit_card,Credit Card Loan,934xx,CA,6.35,0,1926-10-07,1,6,0,6113,0.605,6,0.0
1069522,12400,12400,36,0.1065,403.91,B,B2,Sharp Lawn Inc.,10.0,RENT,41000.0,Not Verified,2026-12-11,Fully Paid,credit_card,December 2011 Credit Card Loan,405xx,KY,11.8,0,1926-07-05,2,9,0,11095,0.572,12,0.0
1069361,10800,10800,36,0.0991,348.03,B,B1,Department of Justice,2.0,RENT,55596.0,Source Verified,2026-12-11,Fully Paid,moving,Moving to better job; help a veteran!,946xx,CA,5.5,0,2000-12-01,0,7,0,2535,0.133,18,0.0
1069357,15000,15000,36,0.079,469.36,A,A4,Gateway Hospice,1.0,RENT,45000.0,Verified,2026-12-11,Fully Paid,debt_consolidation,Debt Consolidation Loan,445xx,OH,8.48,0,1926-11-04,0,7,0,6704,0.504,27,0.0
1069356,6000,6000,36,0.1242,200.5,B,B4,Cox Communications,1.0,RENT,36852.0,Source Verified,2026-12-11,Fully Paid,debt_consolidation,Credit Card Consolidation,850xx,AZ,10.62,0,1926-04-07,1,7,0,7310,0.665,12,0.0
1067573,9600,9600,36,0.0751,298.67,A,A3,Nucor Building Systems,4.0,RENT,68004.0,Source Verified,2026-12-11,Fully Paid,other,Other Loan,292xx,SC,6.63,0,1926-01-03,0,6,0,2896,0.181,11,0.0
1069506,12000,12000,36,0.079,375.49,A,A4,John Wiley Jr.,10.0,RENT,62300.0,Not Verified,2026-12-11,Fully Paid,debt_consolidation,Debt Consolidation,088xx,NJ,16.7,0,1994-03-01,0,15,0,8601,0.21,25,0.0
1069314,3000,3000,36,0.1825,108.84,D,D5,Not Disclosed,9.0,MORTGAGE,65000.0,Not Verified,2026-12-11,Fully Paid,other,Year End Cleanup,180xx,PA,17.39,0,1998-09-01,0,8,0,43936,0.981,22,0.0
1060578,4400,4400,36,0.1677,156.37,D,D2,citizens bank,10.0,RENT,55000.0,Not Verified,2026-12-11,Fully Paid,debt_consolidation,debt,029xx,RI,20.01,0,1926-06-04,0,7,0,25237,0.99,11,0.0
1069469,6000,6000,36,0.0603,182.62,A,A1,"Stewart Enterprises, Inc.",10.0,MORTGAGE,45600.0,Not Verified,2026-12-11,Fully Paid,debt_consolidation,Debt-Consolidation ,700xx,LA,5.34,0,1995-11-01,1,6,0,3378,0.325,28,0.0
1051117,14000,14000,36,0.0991,451.15,B,B1,golfers warehouse,6.0,RENT,80000.0,Not Verified,2026-12-11,Fully Paid,small_business,Small Business Loan,010xx,MA,10.0,0,1999-07-01,1,7,0,2219,0.134,40,0.0
1069465,5000,5000,36,0.089,158.77,A,A5,STERIS Corporation,10.0,MORTGAGE,100000.0,Source Verified,2026-12-11,Charged Off,debt_consolidation,Debt Consolidation for a better life,441xx,OH,16.33,0,1995-06-01,0,17,0,74351,0.621,35,0.0
1069283,10000,10000,36,0.1065,325.74,B,B2,Costco Wholesale Corp.,6.0,RENT,27000.0,Verified,2026-12-11,Fully Paid,other,Other Loan,104xx,NY,11.47,0,1926-11-06,0,7,0,7814,0.523,10,0.0
1069287,10000,10000,36,0.0603,304.36,A,A1,Helicoil,10.0,RENT,60000.0,Not Verified,2026-12-11,Fully Paid,credit_card,Credit Card Loan,067xx,CT,12.74,0,1992-09-01,1,11,0,14019,0.195,18,0.0
1069453,11000,11000,36,0.0662,337.75,A,A2,cognizant technology solutions,5.0,RENT,70000.0,Not Verified,2026-12-11,Fully Paid,debt_consolidation,Debt Consolitation ,061xx,CT,10.85,0,1926-01-02,0,5,0,11638,0.364,7,0.0
1069248,15000,15000,36,0.0991,483.38,B,B1,Caterpillar Inc.,8.0,MORTGAGE,80000.0,Not Verified,2026-12-11,Charged Off,debt_consolidation,Debt Consolidation Loan,616xx,IL,9.12,0,1992-04-01,2,9,0,11845,0.637,28,0.0
1068120,25600,25600,36,0.0991,824.96,B,B1,City of Santa Monica ,9.0,RENT,110000.0,Verified,2026-12-11,Fully Paid,credit_card,Credit card refinance loan,913xx,CA,15.71,0,1999-07-01,0,11,0,26088,0.62,27,0.0
1069244,7000,7000,36,0.1065,228.02,B,B2,Aerotek Scientific,0.0,RENT,40000.0,Not Verified,2026-12-11,Fully Paid,debt_consolidation,Loan 12142011,947xx,CA,7.38,0,1926-04-04,0,7,0,12168,0.929,12,0.0
1069243,12000,12000,36,0.1596,421.65,C,C5,Chemat Technology Inc,4.0,RENT,50000.0,Not Verified,2026-12-11,Charged Off,car,Car Loan,914xx,CA,20.88,0,1926-10-06,2,11,0,15793,0.908,11,0.0
1069238,12000,12000,36,0.0991,386.7,B,B1,Scott & White,1.0,RENT,46000.0,Not Verified,2026-12-11,Fully Paid,credit_card,Credit Cards,765xx,TX,8.11,0,2000-05-01,1,11,0,12143,0.521,12,0.0
1069410,21000,21000,60,0.1991,555.33,E,E4,Costco,7.0,RENT,50000.0,Verified,2026-12-11,Charged Off,debt_consolidation, Bill pay of,980xx,WA,21.58,0,1998-09-01,1,7,0,19448,0.976,14,0.0
1068409,16000,16000,60,0.1991,423.11,E,E4,CA Technologies,7.0,RENT,81000.0,Verified,2026-12-11,Fully Paid,credit_card,refinance debt,017xx,MA,20.52,0,1998-12-01,3,12,0,27884,0.751,21,0.0
1068487,10000,10000,36,0.1242,334.16,B,B4,Netflix,0.0,OWN,39000.0,Not Verified,2026-12-11,Fully Paid,debt_consolidation,Debt Consolidation Loan,972xx,OR,18.58,0,1926-12-04,0,5,0,12874,0.727,10,0.0
1043961,10000,10000,36,0.1065,325.74,B,B2,DCAA,2.0,RENT,51400.0,Not Verified,2026-12-11,Fully Paid,credit_card,My End to Bad Spending Habits Plan,752xx,TX,19.14,0,2000-10-01,3,10,0,10160,0.591,24,0.0
1068945,7100,7100,36,0.1677,252.33,D,D2,Triple D security ,1.0,MORTGAGE,33000.0,Verified,2026-12-11,Fully Paid,debt_consolidation,To pay of all debt,787xx,TX,24.0,0,1926-04-07,2,4,0,6021,0.912,8,0.0
1069142,13000,13000,60,0.1269,293.74,B,B5,wrisco,0.0,MORTGAGE,30000.0,Source Verified,2026-12-11,Fully Paid,debt_consolidation,Debt Consolidation Loan,077xx,NJ,13.72,0,1926-05-02,0,17,0,17080,0.589,27,0.0
1068934,17500,8950,60,0.1727,223.74,D,D3,Not Disclosed,6.0,RENT,40000.0,Verified,2026-12-11,Fully Paid,small_business,Start Up,951xx,CA,19.47,0,1926-05-06,1,5,0,10724,0.589,6,0.0
1069136,17675,17675,60,0.1465,417.25,C,C3,webb candy,0.0,RENT,50000.0,Source Verified,2026-12-11,Fully Paid,debt_consolidation,Debt Consolidation Loan,540xx,WI,16.46,0,1926-07-02,2,6,0,6661,0.574,14,0.0
1068923,8000,8000,36,0.1677,284.31,D,D2,Omniplex ,0.0,RENT,62000.0,Not Verified,2026-12-11,Fully Paid,debt_consolidation,Debt Consolidation Loan,225xx,VA,21.64,0,1926-07-06,3,14,0,6088,0.669,20,0.0
1069126,10000,10000,60,0.1065,215.69,B,B2,CEC ENTERTAINMENT INC,10.0,RENT,45996.0,Verified,2026-12-11,Charged Off,debt_consolidation,Consolidation,440xx,OH,21.73,0,1997-05-01,1,7,0,11170,0.301,15,0.0
1069102,3500,3500,36,0.1065,114.01,B,B2,CPI,7.0,MORTGAGE,55000.0,Not Verified,2026-12-11,Fully Paid,debt_consolidation,blessings,437xx,OH,5.39,0,1926-10-05,1,9,0,6611,0.459,12,0.0
1069093,12500,8925,60,0.1727,223.11,D,D3,grandma kitchen,5.0,RENT,30000.0,Source Verified,2026-12-11,Charged Off,debt_consolidation,allen,559xx,MN,13.16,0,1995-04-01,0,7,1,9844,0.708,28,1.0
1069030,16425,16425,36,0.1427,563.53,C,C2,"Gen-Probe, Inc",4.0,RENT,44544.0,Source Verified,2026-12-11,Fully Paid,debt_consolidation,New Start,921xx,CA,22.71,0,1926-10-02,1,10,0,15747,0.834,18,0.0
1068906,8200,8200,60,0.2128,223.14,F,F2,autozone,4.0,RENT,75000.0,Source Verified,2026-12-11,Charged Off,small_business,Small_Business Loan,912xx,CA,12.48,0,2000-01-01,3,6,0,9012,0.739,11,0.0
1069073,15000,15000,36,0.1465,517.42,C,C3,USAF Civil Service,2.0,OWN,61000.0,Verified,2026-12-11,Fully Paid,credit_card,Credit Refinance,325xx,FL,11.88,0,1926-06-04,1,8,0,19397,0.795,18,0.0
1069043,20975,13575,60,0.1758,341.63,D,D4,Dollar Tree Stores,5.0,MORTGAGE,44000.0,Verified,2026-12-11,Fully Paid,credit_card,Refinance Loan,300xx,GA,18.79,0,2000-04-01,0,13,1,20657,0.794,21,1.0
1060981,6400,6400,36,0.1677,227.45,D,D2,"Riverside County, California",5.0,RENT,75000.0,Not Verified,2026-12-11,Charged Off,debt_consolidation,Help,923xx,CA,20.22,0,1994-12-01,0,9,0,7159,0.675,27,0.0
1069071,3000,3000,36,0.1349,101.8,C,C1,Insight Card Services,1.0,RENT,33600.0,Not Verified,2026-12-11,Fully Paid,debt_consolidation,Credit Card Consolidation,352xx,AL,18.11,0,1926-10-05,0,4,0,2745,0.832,7,0.0
1069070,12000,12000,36,0.1677,426.47,D,D2,Genocea Biosciences,3.0,RENT,50000.0,Not Verified,2026-12-11,Fully Paid,credit_card,Credit Card Consolidation,013xx,MA,20.57,0,1926-09-05,1,13,0,11443,0.97,19,0.0
1068893,14400,14400,36,0.089,457.25,A,A5,Model Metrics,0.0,OWN,150000.0,Source Verified,2026-12-11,Fully Paid,debt_consolidation,Credit Payoff 14400,146xx,NY,14.85,0,1994-12-01,0,12,0,63864,0.55,38,0.0
1068882,12000,12000,36,0.1465,413.94,C,C3,Boro of Butler,10.0,RENT,90000.0,Not Verified,2026-12-11,Fully Paid,debt_consolidation,Debt Consolidation Loan,074xx,NJ,16.56,0,1984-12-01,2,12,0,17116,0.785,36,0.0
1069039,11000,11000,36,0.1349,373.24,C,C1,TX Army National Guard,10.0,MORTGAGE,48000.0,Verified,2026-12-11,Fully Paid,debt_consolidation,Debt Consolidation,786xx,TX,21.82,0,1999-12-01,3,15,0,11382,0.65,29,0.0
1068416,7250,7200,60,0.2167,197.51,F,F3,Cross Country Travel Corp,0.0,RENT,75000.0,Verified,2026-12-11,Fully Paid,debt_consolidation,Debt Consolidation Loan,937xx,CA,24.82,0,2000-05-01,2,9,1,21706,0.912,19,1.0
1068997,15000,15000,36,0.079,469.36,A,A4,Segovia's Transportion Inc.,1.0,MORTGAGE,52000.0,Not Verified,2026-12-11,Fully Paid,small_business,Small_Business Loan,799xx,TX,9.65,0,1926-11-03,1,11,0,1616,0.067,29,0.0
1048390,18000,18000,60,0.1991,475.99,E,E4,AVMED HEALTH PLANS,10.0,MORTGAGE,65000.0,Not Verified,2026-12-11,Fully Paid,debt_consolidation,Debt Consolidation Loan,331xx,FL,6.81,0,1989-06-01,0,10,0,11745,0.778,40,0.0
1068994,35000,22075,60,0.1727,551.84,D,D3,tutor Per ini Corporation,3.0,MORTGAGE,150000.0,Verified,2026-12-11,Fully Paid,home_improvement,Home improvement,115xx,NY,7.51,0,1926-06-03,1,11,0,7334,0.533,31,0.0
1068475,10000,10000,36,0.1427,343.09,C,C2,SAP,2.0,RENT,68000.0,Source Verified,2026-12-11,Fully Paid,credit_card,CC Refi Loan,191xx,PA,15.39,0,1926-07-06,1,9,0,11303,0.813,15,0.0
1068989,11800,11800,36,0.1269,395.83,B,B5,Koi Restaurant,6.0,RENT,42000.0,Source Verified,2026-12-11,Fully Paid,credit_card,Credit Card Refinancing,114xx,NY,9.86,0,1996-10-01,0,4,0,8940,0.748,13,0.0
1068967,4500,4500,36,0.0603,136.96,A,A1,CaseStack,4.0,RENT,53000.0,Source Verified,2026-12-11,Fully Paid,major_purchase,Auto Loan,908xx,CA,4.44,0,2000-10-01,0,7,0,8630,0.139,17,0.0
1068744,7000,7000,36,0.1269,234.82,B,B5,Bellflower convalecent hospital,10.0,RENT,35000.0,Source Verified,2026-12-11,Fully Paid,credit_card,I pay my all credit,902xx,CA,11.35,0,2000-05-01,2,10,0,7649,0.823,26,0.0
1045509,9200,9200,36,0.1242,307.43,B,B4,Kaiser Permanente,2.0,RENT,60000.0,Source Verified,2026-12-11,Fully Paid,debt_consolidation,Nissan Car Loan,902xx,CA,19.96,0,1926-10-02,3,8,0,23299,0.787,19,0.0
1041756,4500,4500,60,0.1065,97.06,B,B2,barnes distribution,0.0,MORTGAGE,42000.0,Source Verified,2026-12-11,Fully Paid,car,Car Loan,750xx,TX,5.4,0,1983-02-01,0,4,0,8220,0.783,9,0.0
1068694,12000,12000,36,0.1629,423.61,D,D1,Phoenix Newspapers Inc.,9.0,RENT,88365.0,Verified,2026-12-11,Fully Paid,debt_consolidation,loan payoff,852xx,AZ,16.85,0,1996-10-01,0,6,0,22936,0.964,15,0.0
1068792,12000,12000,36,0.1349,407.17,C,C1,LITHIA MOTORS,4.0,RENT,72000.0,Source Verified,2026-12-11,Fully Paid,debt_consolidation,MAKE ON PAYMENT,937xx,CA,21.33,0,1926-05-03,1,11,0,3419,0.276,19,0.0
1068558,12000,12000,36,0.1065,390.88,B,B2,Insight Global,0.0,RENT,62000.0,Verified,2026-12-11,Fully Paid,credit_card,Credit Card Refinance,750xx,TX,23.94,0,1926-06-02,0,10,0,20310,0.784,51,0.0
1068322,7000,7000,36,0.1065,228.02,B,B2,Winghouse Corporation,3.0,MORTGAGE,43680.0,Not Verified,2026-12-11,Fully Paid,credit_card,Credit Card Consolidation,559xx,MN,5.38,0,2000-10-01,0,7,0,6245,0.781,11,0.0
1065674,8200,8200,60,0.1942,214.62,E,E3,Claret Wine Bar,3.0,RENT,120000.0,Source Verified,2026-12-11,Fully Paid,debt_consolidation,Debit consolidation,104xx,NY,2.8,0,1926-06-07,2,5,0,10392,0.884,6,0.0
1068547,10500,10500,36,0.1269,352.23,B,B5,O'Connor,10.0,RENT,66000.0,Verified,2026-12-11,Fully Paid,medical,medical,950xx,CA,20.73,1,1998-09-01,2,8,0,5790,0.512,26,0.0
1068545,7000,7000,36,0.1171,231.54,B,B3,Harris,4.0,OWN,39120.0,Not Verified,2026-12-11,Fully Paid,debt_consolidation,Emergency Loan,329xx,FL,21.01,0,1996-12-01,0,8,1,9414,0.524,26,0.0
1049528,20000,12800,60,0.1171,282.86,B,B3,NCS Technologies,4.0,MORTGAGE,47800.0,Verified,2026-12-11,Fully Paid,debt_consolidation,Bill Consolidation,226xx,VA,10.04,0,1926-11-01,0,15,0,16447,0.463,27,0.0
1068542,17500,17500,60,0.1727,437.47,D,D3,Travelers Insurance,7.0,MORTGAGE,45000.0,Not Verified,2026-12-11,Charged Off,credit_card,Debit Free,992xx,WA,21.31,0,1926-09-02,2,13,0,20129,0.861,26,0.0
1068350,3500,3500,36,0.0603,106.53,A,A1,J&J Steel Inc,10.0,MORTGAGE,83000.0,Verified,2026-12-11,Fully Paid,car,Car Loan,614xx,IL,2.31,0,1986-01-01,0,6,0,3092,0.134,28,0.0
1068509,6200,6200,36,0.0991,199.8,B,B1,Sunrise Senior Living,2.0,RENT,25000.0,Not Verified,2026-12-11,Charged Off,debt_consolidation,Wells/Chase ReFi,902xx,CA,20.64,0,1998-05-01,2,7,0,6533,0.477,12,0.0
1068508,6000,6000,36,0.089,190.52,A,A5,A Touch Of Italy,8.0,OWN,28800.0,Not Verified,2026-12-11,Fully Paid,debt_consolidation,Debt consolidation,083xx,NJ,13.17,0,1926-07-05,0,11,0,5269,0.368,13,0.0
1066641,7200,7200,36,0.0991,232.02,B,B1,New York Living Solutions,6.0,RENT,135000.0,Not Verified,2026-12-11,Fully Paid,credit_card,Say goodbye to the rip-off banks,100xx,NY,6.12,0,1997-01-01,0,7,0,16627,0.796,18,0.0
1068315,9500,9500,36,0.089,301.66,A,A5,Natex Architects,7.0,MORTGAGE,50000.0,Not Verified,2026-12-11,Fully Paid,credit_card,Credit Card Loan,770xx,TX,8.18,0,1926-06-05,0,8,0,13422,0.605,13,0.0
1068309,18825,18825,60,0.1677,465.53,D,D2,Texas Health & Human Services Commission,10.0,RENT,38000.0,Verified,2026-12-11,Charged Off,debt_consolidation,Coledon's Club Loan,787xx,TX,23.18,0,1926-12-04,0,6,0,11004,0.797,7,0.0
1068326,24000,24000,36,0.1065,781.76,B,B2,City of Newport Beach,10.0,RENT,45000.0,Verified,2026-12-11,Fully Paid,debt_consolidation,Debt Consolidation Loan,926xx,CA,14.8,0,1990-02-01,0,5,0,24708,0.552,9,0.0
1066767,6000,6000,36,0.1349,203.59,C,C1,Becker Construction Corporation,10.0,RENT,80000.0,Not Verified,2026-12-11,Fully Paid,debt_consolidation,smaller loan,931xx,CA,11.58,0,1926-02-02,0,8,0,15499,0.838,16,0.0
1068484,6000,6000,36,0.1349,203.59,C,C1,Edward Jones,5.0,RENT,50000.0,Not Verified,2026-12-11,Fully Paid,debt_consolidation,Consolidate,860xx,AZ,15.38,0,1926-03-04,1,6,0,15191,0.915,7,0.0
1068292,2100,2100,36,0.1242,70.18,B,B4,Monroe Dispat,10.0,MORTGAGE,30000.0,Not Verified,2026-12-11,Fully Paid,vacation,12/2011 loan,712xx,LA,19.72,0,1995-07-01,1,12,0,12183,0.829,26,0.0
1068273,5500,5500,36,0.0662,168.88,A,A2,Not Disclosed,8.0,MORTGAGE,110000.0,Verified,2026-12-11,Fully Paid,small_business,Computer Equipment,060xx,CT,9.69,0,1994-08-01,0,7,0,14136,0.219,26,0.0
1068274,11000,11000,36,0.0662,337.75,A,A2,East Baton Rouge Parish School System,8.0,OWN,45608.0,Source Verified,2026-12-11,Fully Paid,debt_consolidation,payoff,707xx,LA,20.5,0,1992-06-01,0,7,0,10677,0.587,11,0.0
1068440,26800,26800,60,0.2089,723.38,F,F1,charlotte regional medical center,3.0,MORTGAGE,120000.0,Verified,2026-12-11,Fully Paid,debt_consolidation,credit loan,342xx,FL,12.15,0,1926-05-06,0,13,0,14772,0.48,18,0.0
1046456,8000,8000,36,0.1269,268.36,B,B5,OPW Fuel Management Systems,5.0,MORTGAGE,35000.0,Not Verified,2026-12-11,Fully Paid,debt_consolidation,Credit Card Consolidation,604xx,IL,10.05,0,1926-10-02,0,7,0,6842,0.977,18,0.0
1068012,10000,10000,36,0.1825,362.78,D,D5,Gucci Group/ Yves Saint Laurent,1.0,RENT,75000.0,Source Verified,2026-12-11,Charged Off,credit_card,Credit Card,900xx,CA,24.14,0,1997-03-01,0,9,0,22828,0.963,26,0.0
1055725,8000,8000,36,0.1171,264.61,B,B3,Wal-Mart,9.0,MORTGAGE,35000.0,Verified,2026-12-11,Fully Paid,credit_card,Consolidation Loan,895xx,NV,9.7,0,1926-04-06,0,7,0,6142,0.465,8,0.0
1061814,10000,10000,36,0.089,317.54,A,A5,Renal Support Network,6.0,RENT,24000.0,Verified,2026-12-11,Fully Paid,debt_consolidation,Start Fresh 2012,900xx,CA,7.0,0,2000-01-01,0,6,0,6734,0.495,21,0.0
1068232,12000,12000,36,0.1171,396.92,B,B3,"Avon Protection Systems, Inc.",2.0,MORTGAGE,126000.0,Not Verified,2026-12-11,Fully Paid,debt_consolidation,Chase,430xx,OH,13.32,0,1990-04-01,0,17,0,32711,0.541,38,0.0
